BDCHM Element	Variable Label	var_name	status	Data Type	UCUM Unit	Ontology CURIE	OMOP Concept ID	Deprecated Codes	Variable Description
MeasurementObservation	Interleukin 6 in blood	il6		decimal	pg/mL	OBA:2052890	OMOP:4332015		Concentration of Interleukin-1 beta (IL-6) in blood, typically measured in serum or plasma
MeasurementObservation	Lactate Dehydrogenase LDH	lactate_dehyd		decimal	[IU]/L	OBA:VT0010477	OMOP:4012918		Concentration of lactate dehydrogenase (LDH) in blood, typically in serum or plasma
MeasurementObservation	Lactate in blood	lactate_blood		decimal	mmol/L	OBA:VT0010616	OMOP:1246795		Concentration of lactate in blood, typically measured in whole blood or plasma
MeasurementObservation	LDL	ldl		decimal	mg/dL	OBA:VT0000181	OMOP:4331302		Concentration of low-density lipoprotein (LDL) in blood, typically measured in serum
Condition	LVH from EKG	lvh_ekg		Uriorcurie			OMOP:4065282		
MeasurementObservation	Lymphocytes count	lympho_ct		decimal	10*3/uL	OBA:VT0000717	OMOP:37208689		Concentration of lymphocytes in whole blood
MeasurementObservation	Lymphocytes percent	lympho_pct		decimal	%		OMOP:37208690		Percent of total leukocytes that are lymphocytes
MeasurementObservation	Mass LP-PLA2 in blood	lppla2_mass		decimal	ng/mL		OMOP:3041450		Concentration of Lp-PLA2 (lipoprotein-associated phospholipase A2) enzyme in serum or plasma.
MeasurementObservation	MCP1 in blood	mcp1		decimal	pg/mL	OBA:2052436	OMOP:1617307		Concentration of Monocyte Chemoattractant Protein-1 (MCP-1), also known as CCL2, in blood, typically in serum or plasma
MeasurementObservation	Mean arterial pressure	mn_art_pres		decimal	mm[Hg]	OBA:VT2000000	OMOP:37168599		Average pressure in your arteries throughout one complete cardiac cycle, also known as MAP
MeasurementObservation	Mean corpuscular hemoglobin	mch		decimal	pg/{cell}	OBA:2045301	OMOP:37398674		Average amount of hemoglobin in each red blood cell, also known as MCH
MeasurementObservation	Mean corpuscular hemoglobin concentration	mchc		decimal	g/dL		OMOP:37393850		Average concentration of hemoglobin within a single red blood cell, also known as MCHC
MeasurementObservation	Mean corpuscular volume	mcv		decimal	fL	OBA:0003460	OMOP:37393851		Average size/volume of a red blood cell, also known as MCV
MeasurementObservation	Mean platelet volume	pmv		decimal	fL	OBA:0003277	OMOP:37397923		Average size/volume of a platelet, also known as MPV
MeasurementObservation	MMP9 in blood	mmp9		decimal	ng/mL	OBA:2052397	OMOP:40761106		Concentration of Matrix Metalloproteinase-9 (MMP-9) in blood, typically measured in serum or plasma
MeasurementObservation	Monocytes count	monocyte_ncnc_bld		decimal	10*3/uL	OBA:VT0000223	OMOP:3001604		Concentration of monocyte cells in whole blood
